Crédito,Status da conta corrente existente,Duração em meses,Histórico de crédito,Finalidade,Valor do crédito,Conta de poupança/títulos,Tempo de emprego atual,Taxa de prestação em porcentagem da renda disponível,Estado civil e sexo,Outros devedores/garantidores,Residência atual desde,Propriedade,Idade em anos,Outros planos de parcelamento,Habitação,Número de créditos existentes neste banco,Ocupação,Número de pessoas a quem deve prestar sustento,Telefone,Trabalhador estrangeiro
Ruim Bom,Baixo negativo none estavel,continuous,Pagamento\ pelo\ banco Crítico Totalmente\ pago Em\ dia Atraso\ passado,Negócios Carro\ novo Carro\ usado Eletrodomésticos Educação Móveis/equipamentos outro Rádio/televisão Reparos Requalificação,continuous,Alto Baixo Medio Minimo none,4-to-7 7-+ good-to-4 Menos\ de\ 1 Desempregado,continuous,Mulher\ -\ divorciada/separada/casada Homem\ -\ divorciado/separado Homem\ -\ casado/viúvo Homem\ -\ solteiro,Co-requerente Fiador none,continuous,Carro/outro Imóvel Acordo\ de\ poupança/seguro\ de\ vida Desconhecido/nenhum,continuous,bank none stores,for-free Dono Aluguel,continuous,Alta\ qualificação Funcionário\ qualificado Residente\ não\ qualificado Não\ qualificado/não\ residente,1 2,Sem\ Telefone telefone\ registrado,Trabalhador\ Estrangeiro Trabalhador\ Local
class favorable_class_value=Bom,,,,,,,,,"privileged_pa_values=['male-divorced/separated',\ 'male-married/widowed',\ 'male-single']",,,,,,,,,,,
Bom,negativo,6,Crítico,Rádio/televisão,1169,none,7-+,4,Homem - solteiro,none,4,Imóvel,67,none,Dono,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,48,Em dia,Rádio/televisão,5951,Minimo,good-to-4,2,Mulher - divorciada/separada/casada,none,2,Imóvel,22,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,12,Crítico,Educação,2096,Minimo,4-to-7,2,Homem - solteiro,none,3,Imóvel,49,none,Dono,1,Residente não qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,42,Em dia,Móveis/equipamentos,7882,Minimo,4-to-7,2,Homem - solteiro,Fiador,4,Acordo de poupança/seguro de vida,45,none,for-free,1,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,24,Atraso passado,Carro novo,4870,Minimo,good-to-4,3,Homem - solteiro,none,4,Desconhecido/nenhum,53,none,for-free,2,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,none,36,Em dia,Educação,9055,none,good-to-4,2,Homem - solteiro,none,4,Desconhecido/nenhum,35,none,for-free,1,Residente não qualificado,2,telefone registrado,Trabalhador Estrangeiro
Bom,none,24,Em dia,Móveis/equipamentos,2835,Medio,7-+,3,Homem - solteiro,none,4,Acordo de poupança/seguro de vida,53,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,36,Em dia,Carro usado,6948,Minimo,good-to-4,2,Homem - solteiro,none,2,Carro/outro,35,none,Aluguel,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,12,Em dia,Rádio/televisão,3059,Alto,4-to-7,2,Homem - divorciado/separado,none,4,Imóvel,61,none,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,30,Crítico,Carro novo,5234,Minimo,Desempregado,4,Homem - casado/viúvo,none,2,Carro/outro,28,none,Dono,2,Alta qualificação,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,12,Em dia,Carro novo,1295,Minimo,Menos de 1,3,Mulher - divorciada/separada/casada,none,1,Carro/outro,25,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,48,Em dia,Negócios,4308,Minimo,Menos de 1,3,Mulher - divorciada/separada/casada,none,4,Acordo de poupança/seguro de vida,24,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,12,Em dia,Rádio/televisão,1567,Minimo,good-to-4,1,Mulher - divorciada/separada/casada,none,1,Carro/outro,22,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,24,Crítico,Carro novo,1199,Minimo,7-+,4,Homem - solteiro,none,4,Carro/outro,60,none,Dono,2,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,15,Em dia,Carro novo,1403,Minimo,good-to-4,2,Mulher - divorciada/separada/casada,none,4,Carro/outro,28,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,24,Em dia,Rádio/televisão,1282,Baixo,good-to-4,4,Mulher - divorciada/separada/casada,none,2,Carro/outro,32,none,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,24,Crítico,Rádio/televisão,2424,none,7-+,4,Homem - solteiro,none,4,Acordo de poupança/seguro de vida,53,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,30,Totalmente pago,Negócios,8072,none,Menos de 1,2,Homem - solteiro,none,3,Carro/outro,25,bank,Dono,3,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,24,Em dia,Carro usado,12579,Minimo,7-+,4,Mulher - divorciada/separada/casada,none,2,Desconhecido/nenhum,44,none,for-free,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,24,Em dia,Rádio/televisão,3430,Medio,7-+,3,Homem - solteiro,none,2,Carro/outro,31,none,Dono,1,Funcionário qualificado,2,telefone registrado,Trabalhador Estrangeiro
Bom,none,9,Crítico,Carro novo,2134,Minimo,good-to-4,4,Homem - solteiro,none,4,Carro/outro,48,none,Dono,3,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,negativo,6,Em dia,Rádio/televisão,2647,Medio,good-to-4,2,Homem - solteiro,none,3,Imóvel,44,none,Aluguel,1,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,10,Crítico,Carro novo,2241,Minimo,Menos de 1,1,Homem - solteiro,none,3,Imóvel,48,none,Aluguel,2,Residente não qualificado,2,Sem Telefone,Trabalhador Local
Bom,Baixo,12,Crítico,Carro usado,1804,Baixo,Menos de 1,3,Homem - solteiro,none,4,Acordo de poupança/seguro de vida,44,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,10,Crítico,Móveis/equipamentos,2069,none,good-to-4,2,Homem - casado/viúvo,none,1,Carro/outro,26,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Local
Bom,negativo,6,Em dia,Móveis/equipamentos,1374,Minimo,good-to-4,1,Homem - solteiro,none,2,Imóvel,36,bank,Dono,1,Residente não qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,6,Totalmente pago,Rádio/televisão,426,Minimo,7-+,4,Homem - casado/viúvo,none,4,Carro/outro,39,none,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,estavel,12,Pagamento pelo banco,Rádio/televisão,409,Alto,good-to-4,3,Mulher - divorciada/separada/casada,none,3,Imóvel,42,none,Aluguel,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,7,Em dia,Rádio/televisão,2415,Minimo,good-to-4,3,Homem - solteiro,Fiador,2,Imóvel,34,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,60,Atraso passado,Negócios,6836,Minimo,7-+,3,Homem - solteiro,none,4,Desconhecido/nenhum,63,none,Dono,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
